454 Software Release, 2.3

dateOfFile, 2009/11/24 12:47:38
runName,R_2009_11_24_12_47_38_FLX12080456_Administrator_Eva_BreeShotgun
analysisName,D_2009_12_01_21_11_02_compute-0-1_fullProcessing
PTPType,unknown
PTPBarCode,725457
analysisType,<analysisType goes here>
numberOfRegions,2
numberOfCycles,-1
flowOrder,<flowOrder goes here>

region,1
rawWells,841469
keyPassWells,830916

keySequence,CATG
keyPassWells,10725
keySignalPerBase,297.465000,119.039000
99.000000,300,65.774792,5777
98.000000,300,74.780827,6568
95.000000,300,82.591370,7254
80.000000,300,90.697939,7966
100.000000,350,20.926790,1838
99.000000,350,54.206991,4761
98.000000,350,66.196061,5814
95.000000,350,77.388136,6797
80.000000,350,89.149493,7830
100.000000,400,13.571673,1192
99.000000,400,47.671638,4187
98.000000,400,59.489924,5225
95.000000,400,73.186838,6428
80.000000,400,87.441649,7680

sequence,AVTF120
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,80.831572,1147
99.000000,100,88.301621,1253
98.000000,100,92.811839,1317
95.000000,100,96.476392,1369
80.000000,100,100.000000,1419
100.000000,150,73.968706,1040
99.000000,150,83.570413,1175
98.000000,150,91.038407,1280
95.000000,150,95.519203,1343
80.000000,150,100.000000,1406
100.000000,200,69.799139,973
99.000000,200,85.365854,1190
98.000000,200,90.100430,1256
95.000000,200,95.265423,1328
80.000000,200,100.000000,1394
100.000000,250,34.156977,470
99.000000,250,73.255814,1008
98.000000,250,85.755814,1180
95.000000,250,93.459302,1286
80.000000,250,100.000000,1376
100.000000,300,17.880795,243
99.000000,300,59.529065,809
98.000000,300,77.409860,1052
95.000000,300,91.685063,1246
80.000000,300,100.000000,1359
100.000000,350,15.789474,210
99.000000,350,52.406015,697
98.000000,350,73.007519,971
95.000000,350,88.421053,1176
80.000000,350,100.000000,1330
100.000000,400,4.201681,55
99.000000,400,40.947288,536
98.000000,400,63.407181,830
95.000000,400,84.491979,1106
80.000000,400,100.000000,1309

sequence,AVTF100
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,77.764350,1287
99.000000,100,86.102719,1425
98.000000,100,89.486405,1481
95.000000,100,93.413897,1546
80.000000,100,100.000000,1655
100.000000,150,74.908648,1230
99.000000,150,83.191230,1366
98.000000,150,89.524970,1470
95.000000,150,93.057247,1528
80.000000,150,100.000000,1642
100.000000,200,72.007366,1173
99.000000,200,83.793738,1365
98.000000,200,88.152241,1436
95.000000,200,93.063229,1516
80.000000,200,100.000000,1629
100.000000,250,56.129434,902
99.000000,250,78.904792,1268
98.000000,250,86.185439,1385
95.000000,250,92.408214,1485
80.000000,250,100.000000,1607
100.000000,300,0.000000,0
99.000000,300,72.986684,1151
98.000000,300,82.815472,1306
95.000000,300,91.185796,1438
80.000000,300,100.000000,1577
100.000000,350,0.000000,0
99.000000,350,67.914784,1052
98.000000,350,81.859264,1268
95.000000,350,90.316333,1399
80.000000,350,100.000000,1549
100.000000,400,0.000000,0
99.000000,400,63.636364,973
98.000000,400,78.351864,1198
95.000000,400,89.404840,1367
80.000000,400,100.000000,1529

sequence,AVTF2
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,69.633099,892
99.000000,100,86.104606,1103
98.000000,100,89.539422,1147
95.000000,100,93.286495,1195
80.000000,100,100.000000,1281
100.000000,150,67.902208,861
99.000000,150,84.621451,1073
98.000000,150,88.958991,1128
95.000000,150,92.823344,1177
80.000000,150,100.000000,1268
100.000000,200,65.283320,818
99.000000,200,85.634477,1073
98.000000,200,88.826816,1113
95.000000,200,93.056664,1166
80.000000,200,100.000000,1253
100.000000,250,55.439162,688
99.000000,250,78.565673,975
98.000000,250,85.979049,1067
95.000000,250,91.700242,1138
80.000000,250,100.000000,1241
100.000000,300,36.997539,451
99.000000,300,75.717801,923
98.000000,300,83.264971,1015
95.000000,300,90.730107,1106
80.000000,300,100.000000,1219
100.000000,350,22.518766,270
99.000000,350,64.637198,775
98.000000,350,76.313595,915
95.000000,350,87.072560,1044
80.000000,350,100.000000,1199
100.000000,400,1.359388,16
99.000000,400,46.898895,552
98.000000,400,66.100255,778
95.000000,400,81.988105,965
80.000000,400,100.000000,1177

sequence,AVTF90
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,74.847870,738
99.000000,100,83.367140,822
98.000000,100,87.423935,862
95.000000,100,91.582150,903
80.000000,100,100.000000,986
100.000000,150,67.010309,650
99.000000,150,80.206186,778
98.000000,150,87.422680,848
95.000000,150,91.443299,887
80.000000,150,100.000000,970
100.000000,200,50.207469,484
99.000000,200,69.087137,666
98.000000,200,76.348548,736
95.000000,200,82.365145,794
80.000000,200,100.000000,964
100.000000,250,39.337017,356
99.000000,250,60.883978,551
98.000000,250,73.591160,666
95.000000,250,83.093923,752
80.000000,250,100.000000,905
100.000000,300,19.261822,167
99.000000,300,61.014994,529
98.000000,300,72.433679,628
95.000000,300,83.852364,727
80.000000,300,100.000000,867
100.000000,350,0.000000,0
99.000000,350,3.575685,30
98.000000,350,24.672229,207
95.000000,350,60.309893,506
80.000000,350,100.000000,839
100.000000,400,0.000000,0
99.000000,400,1.992528,16
98.000000,400,11.332503,91
95.000000,400,47.696139,383
80.000000,400,100.000000,803

sequence,AVTF150
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,72.181938,1095
99.000000,100,84.311140,1279
98.000000,100,89.255109,1354
95.000000,100,94.726434,1437
80.000000,100,100.000000,1517
100.000000,150,70.808283,1060
99.000000,150,83.166333,1245
98.000000,150,90.247161,1351
95.000000,150,95.323981,1427
80.000000,150,100.000000,1497
100.000000,200,67.204301,1000
99.000000,200,85.483871,1272
98.000000,200,90.456989,1346
95.000000,200,95.295699,1418
80.000000,200,100.000000,1488
100.000000,250,65.741368,971
99.000000,250,82.464455,1218
98.000000,250,89.505755,1322
95.000000,250,94.786730,1400
80.000000,250,100.000000,1477
100.000000,300,52.292950,764
99.000000,300,79.397673,1160
98.000000,300,86.516085,1264
95.000000,300,92.539357,1352
80.000000,300,100.000000,1461
100.000000,350,50.415512,728
99.000000,350,75.623269,1092
98.000000,350,83.795014,1210
95.000000,350,91.066482,1315
80.000000,350,100.000000,1444
100.000000,400,40.680369,574
99.000000,400,75.549256,1066
98.000000,400,81.644224,1152
95.000000,400,91.070163,1285
80.000000,400,100.000000,1411

sequence,AVTF7
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,73.489279,1131
99.000000,100,88.693957,1365
98.000000,100,91.293047,1405
95.000000,100,95.646524,1472
80.000000,100,100.000000,1539
100.000000,150,72.578534,1109
99.000000,150,86.256545,1318
98.000000,150,90.772251,1387
95.000000,150,94.568063,1445
80.000000,150,100.000000,1528
100.000000,200,71.542025,1081
99.000000,200,88.087359,1331
98.000000,200,91.330245,1380
95.000000,200,95.168762,1438
80.000000,200,100.000000,1511
100.000000,250,65.127175,973
99.000000,250,84.002677,1255
98.000000,250,89.625167,1339
95.000000,250,94.176707,1407
80.000000,250,100.000000,1494
100.000000,300,56.102495,832
99.000000,300,81.254214,1205
98.000000,300,87.862441,1303
95.000000,300,93.391773,1385
80.000000,300,100.000000,1483
100.000000,350,42.886317,630
99.000000,350,75.901974,1115
98.000000,350,84.615385,1243
95.000000,350,92.375766,1357
80.000000,350,100.000000,1469
100.000000,400,37.698139,547
99.000000,400,71.950379,1044
98.000000,400,81.047553,1176
95.000000,400,91.109580,1322
80.000000,400,100.000000,1451

keySequence,TCAG
keyPassWells,811787
keySignalPerBase,256.050000,161.059000
ppi,1,404.205000,110.082000
ppi,2,303.020000,66.241600
ppi,3,246.212000,50.818100
